Sentence Index,Ground Truth Labels,wnv645,dmr693,klr543,rvm681,mnf573,cbs154,xnq518,xlp113,rqv789,gnk487,nmx551,ckb257,vbr942,kdx409,ldw372,zvd607,kvh190,QPF823,shm302,gwn787,Dmc453,QKJ272,kpd426,HWP426,mzn741,rxq534,vjx192,qmf382,krw564,glq414,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29
0,0,2,1,2,2,2,2,2,3,3,2,1,2,1,3,2,1,2,2,1,2,2,1,1,1,2,2,2,1,0,2,not much of anything,not much of anything,no movement,not much of anything,not much,not much of anything,not much of anything,not much of anything,not much of anything,not much of anything,-,"not much, no",not much of anything,"no movement, not much of anything","no, not","not much, no","no, not much of anything",not much of anything,"""not much of anything""",not much of anything,no movement,"""not much of anything""","""not much of anything""",not much of anything,not much of anything,not much of anything,no yuks,not much,not much of anything
1,0,3,4,1,1,1,1,1,1,5,5,2,1,1,1,1,5,1,1,1,1,1,2,2,1,1,1,4,3,4,2,sickly sweet,"a gob of drivel, retch it up",a gob of drivel so sickly sweet,sickly sweet,sickly sweet,so sickly sweet,"sickly sweet, even the eager consumers",retch it up,a gob of drivel,retch it up,"A gob of drivel so sickly sweet, retch it  up like rancid crème brûlée","retch, rancid, sickly sweet",so sickly sweet,"drivel, sickly sweet, retch, rancid",a gob of drivel,"rancid, sickly,","sickly, rancid","sickly sweet"", ""retch it up like rancid créme brûlée","""so sickly sweet"", ""even the eager consumers""",retch it up like rancid,retch,"""drivel"", ""sickly"", ""wretch""","""retch it up like rancid crème brûlée""",retch,a gob of drivel so sickly sweet,will retch it up,so sickly sweet,sickly sweet,"drivel, retch it upp"
2,0,3,2,1,1,1,3,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,unapologetic mess,"unapologetic mess, saving grace",gangs of new york is an unapologetic mess,unapologetic mess,unapologetic mess,unapologetic mess,blowing just about everything up,uappologetic mess,unapologetic mess,uappologetic mess,"unapologetic mess, blowing just about everything up",unapologetic mess,only saving grace,"unapologetic mess, only saving grace","unapologetic mess, only saving grace","unapologetic, mess, saving grace","gangs, unapologetic mess, blowing just about everything up",unapologetic mess,"""unapologetic mess""",unapologetic mess,mess,"""only saving grace""","""unapologetic mess""",an unapologetic mess,unapologetic mess,an unapologetic mess,unapologetic mess,unapologetic mess,unapologetic mess
3,0,2,3,2,2,2,2,1,2,2,3,2,2,2,3,2,1,3,2,2,2,2,2,2,2,3,2,2,3,0,2,abstract ideas,"never feel involved, abstract",we never really feel involved with the story,never really feel involved,never really feel involved,never really feel involved,never feel involved,never really feel,abstract ideas,never really feel,-,never really feel involved,never really feel involved with the story,never really feel involved,never really feel involved with the story,never,,we never really feel involved,"""never really feel invovled""",never really feel involved,never really feel involved,"""never really feel involved""","""never really feel involved"", ""abstract ideas""",,never really feel involved,never really feel involved,abstract ideas,never feel involved,never feel involved
4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,one of polanski 's best films,one of best films,this is one of polanski 's best films .,best films,best,best films,best films,best films,best films,best films,best films,best films,one of polanski 's best films,best films,best films,best,best,best films,"""one of polanski's best films""",best films,best,"""best films""",""" best films""",best films,best,one of polanski 's best films,best films,best,one of best films
5,1,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,refreshingly different slice of asian cinema,refreshingly different,take care of my cat offers a refreshingly different slice of asian cinema .,refreshingly different,refreshingly,refreshingly,refreshingly,refreshingly different,refreshingly different slice,refreshingly different,refreshingly,refreshingly,refreshingly different,refreshingly different,refreshingly different,"refreshingly, offers",refreshingly different,refreshingly different slice,"""offers a refreshingly slice""",refreshingly different,refreshingly,"""refreshingly different""",""" refreshingly different""",refreshingly different,refreshingly,a refreshingly different,refreshingly,refreshingly different,refreshingly
6,0,2,3,2,2,3,2,2,4,4,4,3,2,5,2,3,3,2,2,1,2,2,4,2,2,2,2,3,3,1,3,almost makes `` never again '' worthwhile,almost makes worthwhile but,particularly by tambor,but,"`` never again '' worthwhile , but ","worthwhile, but",almost,"almost worthwhile, follow his titiular advice",makes `` never again '' worthwhile,"almost worthwhile, follow his titiular advice",almost makes `` never again '' worthwhile,"almost, should follow","worthwhile, should follow his titular advice","almost makes ""never again"" worthwhile",almost makes `` never again '' worthwhile,never again,worthwhile,almost makes 'never again' worthwhile,"""almost makes worthwhile""",,almost worthwhile,"""almost makes ''never again'' worthwhile""","""almost makes `` never again '' worthwhile, but """,,"almost, but","almost makes `` never again '' worthwhile , but",worthwhile,never again,almost makes worthwhile
7,1,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,3,2,4,4,4,4,4,4,4,3,3,fine acting,action and fine acting,the movie exists for its soccer action and its fine acting .,fine,fine acting,fine acting,fine acting,fine acting,fine acting,fine acting,fine acting,fine acting,fine acting,fine acting,"exists for its soccer action, fine acting",fine,,fine acting,"""its fine acting""",,fine acting,"""its fine acting""","""fine acting""",fine acting,fine acting,fine acting,fine acting,fine,fine acting
8,0,2,3,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,arnold 's jump from little screen to big will leave frowns on more than a few faces,will leave frowns on faces,arnold 's jump from little screen to big will leave frowns on more than a few faces .,frowns,frowns,leave frowns,leave frowns on more than a few faces,frowns,leave frowns,frowns,will leave frowns,frowns,leave frowns on more than a few faces,frown,will leave frowns,frowns,frowns,leave frowns on more than a few faces,"""will leave frowns""",will leave frowns on more than a few faces,frowns,"""will leave frowns""","""leave frowns on more than a few faces""",,frowns,will leave frowns on more than a few faces,frowns,frowns,leave frown
9,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,0,1,crap,"took the good stuff, left behind the crap",if this holiday movie is supposed to be a gift,left behind the crap,crap,crap,supposed to be a gift .. left behind the crap,crap,"good stuff , crap",crap,left behind the crap -lrb- literally -rrb- .,crap,took out all the good stuff,crap,crap,"crap, ","took out the good stuff, crap",Supposed to be a gift [...] took out all the good stuff,"""left behind the crap""","if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap",crap,"""took out all the good stuff , and left behind the crap""","""took out all the good stuff , and left behind the crap""",,good stuff,"took out all the good stuff , and left behind the crap",crap,crap,"took out all the good stuff, the crap"
10,1,3,4,4,3,4,3,4,3,3,3,4,2,4,4,3,3,3,4,3,3,4,3,3,2,4,4,3,4,3,4,self-deprecating sense of humor makes up for a lot .,"cheesy effects, hoary plot, sense of humor makes up",but its macabre,makes up,makes up,makes up for a lot,makes up up for a lot,"cheesy, hoary, makes up for a lot",makes up for a lot,"cheesy, hoary, makes up for a lot",makes up for a lot,"cheesy, hoary","cheesy effects, makes up for a lot","cheesy effects, hoary plot, self-deprecating sense of humor","cheesy effects and a hoary plot, macabre , self-deprecating sense of humor makes up for a lot","cheesy, makes up","cheesy effects, hoary plot, macabre , self-deprecating sense of humor makes up for a lot","it's macabre, self-deprecatiing sense of humor makes up for a lot","""self-deprecating sense of humor""","but its macabre , self-deprecating sense of humor makes up for a lot .",makes up,"""makes up for a lot""","""cheesy effects and a hoary plot"", ""but [...] makes up for a lot""",,but,"its macabre , self-deprecating sense of humor makes up for a lot",makes up for a lot,makes up for a lot,makes up for a lot
11,0,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,0,1,this is lame .,this is lame,this is lame .,even,lame,lamp,lame,lame,lame,lame,this is lame,lame,this is lame,lame,lame,lame,lame,lame,"""lame horror flicks"", ""this is lame""",this is lame,lame,"""lame""","""even as [...], this is lame""",this is lame,lame,this is lame,lame,lame,lame
12,0,3,4,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,1,3,2,4,3,4,3,it actually has a bundle in common with them,the film diffuses every opportunity for a breakthrough,oft-described as the antidote to american pie-type sex comedies,diffuses every opportunity,diffuses every opportunity,diffuses every opportunity for a breakthrough,diffuses every opportunity for a breakthrough,diffuses every opportunity for breakthrough,a bundle in common with them,diffuses every opportunity for breakthrough,-,diffuses every oportunity,diffuses every opportunity for a breakthrough,diffuses every opportunity for a breakthrough,"bundle in common, diffuses every opportunity for a breakthrough","antidote, diffuses",,the film diffuses every opportunity for a breakthrough,"""oft-described as the antidote""",,breakthrough,"""the film diffuses every opportunity for a breakthrough""","""the film diffuses every opportunity for a breakthrough""",diffuses every opportunity for a breakthrough,breakthrough,diffuses every opportunity for a breakthrough,opportunity for a breakthrough,breakthrough,diffuses every opportunity for a breakthrough
13,1,3,4,4,2,4,3,5,4,3,3,3,3,4,3,4,4,4,3,3,4,4,3,2,4,4,4,2,4,4,4,full of off-the-cuff imaginative flourishes .,"though less than usual, imaginative flourishes",the film is typical miike : fast,full of,typical,typical miike,less sadistic than usual,,"fast , furious, imaginative flourishes",,-,flourishes,full of off-the-cuff imaginative flourishes,imaginative,typical miike,"fast, full, flourishes","typical miike, fast, furious, off-the-cuff imaginative flourishes","fast, furious and full of off-the-cuff imaginative flourishes","""far less sadistic"", ""the film is typical miike""",imaginative flourishes,fast,"""full of off-the-cuff imaginative flourishes""","""far less sadistic than usual "", ""full of off-the-cuff imaginative flourishes""",full of off-the-cuff imaginative flourishes,"though,  typical miike",full of off-the-cuff imaginative flourishes,"fast, furious",imaginative flourishes,"typical, fast furious, imaginative"
14,0,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,1,2,2,1,2,5,2,1,better written and of considerable more interest than the finished film,"when pre-shooting guidelines turns out to be better than film, bad sign",when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer,bad sign,bad sign,bad sign,bad sign,bad sign,a bad sign,bad sign,bad sign,bad sign,bad sign,bad sign,"cleverer, better written, considerable more interest, a bad sign",bad,"out to be clevered, better written and of considerable more interest than the finished film , bad sign",that's a bad sign,"""that's a bad sign""",that 's a bad sign,bad sign,"""that's a bad sign""","""cleverer , better written and of considerable more interest than the finished film """,,bad sign,"considerable more interest than the finished film , that 's a bad sign",clever,bad sign,"better than finished, bad sign"
15,1,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,4,4,5,5,so lovingly and perceptively filmed that you can almost taste the desiccated air .,so lovingly and perceptively filmed,the passions aroused by the discord between old and new cultures are set against the strange,almost taste the desiccated air,lovingly and perceptively,almost taste,so lovingly and perceptively filmed,lovingly and perceptively,lovingly and perceptively,lovingly and perceptively,so lovingly and perceptively filmed,"lovingly, preceptively",so lovingly and perceptively filmed,"stark beauty, lovingly and perceptively filmed",lovingly and perceptively filmed that you can almost taste the desiccated air,"passions, beauty, lovingly, perceptively","passions, lovingly and perceptively filmed",so lovingly and perceptively filmed,"""you can almost taste the desiccated air""",so lovingly and perceptively filmed that you can almost taste the desiccated air .,lovingly,"""so lovingly and perceptively filmed""","""the passions aroused by"", ""so lovingly and perceptively filmed""",stark beauty,so lovingly,so lovingly and perceptively filmed,loving,lovingly and perceptively filmed,"lovingly, perceptively"
16,1,4,4,4,4,5,4,4,5,4,4,5,4,1,4,5,4,4,5,4,5,4,3,4,5,4,4,4,2,4,5,this is your ticket .,"if you 're a connoisseur of psychological horror , this is your ticket",if you 're a connoisseur of psychological horror,this is your ticket,this is your ticket,your ticket,this is your ticket,this is your ticket,slasher films and gorefests,this is your ticket,this is your ticket,this is your ticket,this is your ticket,this is your ticket,this is your ticket,"gorefests, connoisseur",", have n't been dulledby, connoisseur of, your ticket","if you're a coonisseaur of psychological horror, this is your ticket.","""this is your ticket""",this is your ticket,your ticket,"""connoisseur""","""if you 're a connoisseur of psychological horror , this is your ticket""","if you 're a connoisseur of psychological horror , this is your ticket .",this is your ticket,this is your ticket,gorefests,this is your ticket,connoisseur
17,0,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,3,0,1,any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,ill-conceived,any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,ill-conceived folly,folly,ill-conceived folly,ill-conceived folly to sleep,ill-concieved,ill-conceived folly,ill-concieved,send this ill-conceived folly to sleep with the fishes,Ill-conceived,ill-conceived folly,to sleep,ill-conceived folly to sleep with the fishes,"sleep, ill-conceived",send this ill-conceived folly to sleep with the fishes,ill-conceived folly,"""send this ill-conveicved folly to sleep""",would send this ill-conceived folly to sleep with the fishes,ill-conceived,"""ill-conceived folly""","""ill-conceived folly """,ill-conceived folly,ill-conceived folly,ill-conceived folly,sleep,ill-conceived folly,ill-conceived folly
